Customer_ID,Full_Name,Date_of_Birth,Age,Gender,Email,Phone,City,State,Pincode,Account_Number,Account_Type,Account_Open_Date,Current_Balance,Loan_Amount,Credit_Score,Occupation,Years_With_Bank,Annual_Income,Account_Status,Internet_Banking,Mobile_Banking,Customer_Tier,Number_of_Transactions,Last_Month_Spending
CUST960394,Aditi Chatterjee,1974-09-22,50,Female,aditi.chatterjee198@rediffmail.com,+918187880715,Jaipur,Rajasthan,812526,ACC1977515194,Recurring Deposit,2012-06-05,432244.29,0.0,585,Engineer,8,439748.82,Inactive,Yes,No,Tier 1,3,29828.56
CUST462479,Ravi Pandey,2000-05-07,24,Other,ravi.pandey119@rediffmail.com,+919975315062,Vellore,Tamil Nadu,820221,ACC6642201119,Current,2013-03-03,95444.35,3382.56,345,Lawyer,5,474948.5,Inactive,No,Yes,Tier 3,9,25356.13
CUST799287,Lakshmi Banerjee,1968-08-09,56,Other,lakshmi.banerjee303@yahoo.com,+918643616431,Coimbatore,Tamil Nadu,415568,ACC7049001493,Fixed Deposit,2017-04-16,332632.25,1805611.09,688,Engineer,20,150587.72,Inactive,No,No,Tier 2,14,33781.36
CUST636004,Poonam Chatterjee,1964-03-10,61,Male,poonam.chatterjee649@outlook.com,+916198486416,Ahmedabad,Gujarat,598216,ACC5659161352,Recurring Deposit,2024-01-23,336561.44,294707.92,530,Doctor,30,213076.1,Dormant,Yes,No,Tier 2,12,12199.22
CUST787926,Yogesh Desai,1994-12-01,30,Male,yogesh.desai882@gmail.com,+919940503685,Coimbatore,Tamil Nadu,578634,ACC3953315788,Current,2022-12-23,109811.15,1114811.59,830,Accountant,34,494067.3,Dormant,No,No,Tier 3,16,21337.04
CUST674485,Mohan Nair,1997-09-03,27,Male,mohan.nair770@yahoo.com,+917889238423,Jaipur,Rajasthan,848206,ACC8995059760,Salary,2010-04-05,383023.94,478491.73,833,Government Employee,22,166657.69,Dormant,Yes,Yes,Tier 1,7,19151.76
CUST260227,Akash Iyengar,1984-05-04,40,Other,akash.iyengar418@outlook.com,+919306247679,Trichy,Tamil Nadu,829308,ACC4034047118,Savings,2024-03-20,208179.23,778953.63,511,Architect,25,243720.07,Inactive,No,No,Tier 2,17,37375.78
CUST672661,Nilesh Gupta,1981-10-13,43,Male,nilesh.gupta280@rediffmail.com,+919949401194,Chennai,Tamil Nadu,752483,ACC4856070374,Recurring Deposit,2005-08-09,194734.17,1681011.33,714,Lawyer,38,286552.07,Active,Yes,No,Tier 1,14,9086.45
CUST372793,Deepak Mishra,1994-02-22,31,Female,deepak.mishra335@outlook.com,+916351784589,Madurai,Tamil Nadu,120324,ACC6923206003,Recurring Deposit,2006-03-03,139489.18,0.0,731,Farmer,15,328570.61,Dormant,Yes,Yes,Tier 1,6,41961.44
CUST751517,Arjun Tiwari,1985-04-19,39,Other,arjun.tiwari686@gmail.com,+918608108101,Pune,Maharashtra,853252,ACC1654477195,Savings,2022-06-12,232784.47,335578.29,562,Teacher,20,62968.39,Active,No,No,Tier 2,6,3799.82
CUST824161,Sara Desai,1995-09-19,29,Other,sara.desai309@gmail.com,+916296166921,Vellore,Tamil Nadu,778998,ACC2043030161,Salary,2005-04-14,391426.36,1323042.68,655,Lawyer,32,61714.05,Inactive,No,Yes,Tier 2,5,36689.77
CUST782054,Meena Chopra,1974-06-16,50,Male,meena.chopra749@outlook.com,+917936179853,Ahmedabad,Gujarat,886931,ACC7371573279,Fixed Deposit,2017-10-13,415450.14,0.0,388,Architect,25,174834.34,Inactive,No,Yes,Tier 2,6,17741.25
CUST370902,Yamini Das,1984-12-06,40,Female,yamini.das719@outlook.com,+919092697141,Chennai,Tamil Nadu,612311,ACC6756711494,Recurring Deposit,2022-01-02,258555.31,0.0,495,Businessman,31,326492.42,Inactive,No,Yes,Tier 1,9,11079.82
CUST825391,Santosh Bose,1984-10-29,40,Female,santosh.bose378@rediffmail.com,+919018739003,Erode,Tamil Nadu,384076,ACC6339955011,Salary,2010-08-22,172206.82,0.0,863,Businessman,8,363429.32,Inactive,Yes,Yes,Tier 1,6,36930.23
CUST389930,Divya Rao,1960-08-19,64,Male,divya.rao184@outlook.com,+918995384868,Tiruppur,Tamil Nadu,768854,ACC6128695961,Fixed Deposit,2007-04-21,63728.19,1106717.93,346,Engineer,37,149326.27,Inactive,No,No,Tier 1,1,12623.92
CUST600935,Nilesh Kumar,1966-10-21,58,Male,nilesh.kumar591@gmail.com,+917065972034,Hyderabad,Telangana,685181,ACC5575615203,Fixed Deposit,2018-08-07,405665.47,0.0,611,Architect,40,120586.7,Dormant,No,No,Tier 2,9,43008.33
CUST549660,Rekha Ghosh,1988-01-22,37,Other,rekha.ghosh102@yahoo.com,+916746523513,Pune,Maharashtra,178711,ACC3667292043,Current,2005-01-22,132690.74,0.0,383,Lawyer,29,347791.86,Inactive,No,Yes,Tier 1,9,35347.79
CUST837135,Akash Chatterjee,1995-05-04,29,Male,akash.chatterjee240@outlook.com,+918781569954,Vellore,Tamil Nadu,378535,ACC8986950095,Current,2006-08-08,330760.93,1089124.76,502,Engineer,11,398388.0,Dormant,No,No,Tier 1,14,34433.9
CUST833723,Mohan Kumar,1999-11-24,25,Other,mohan.kumar613@gmail.com,+916983222878,Coimbatore,Tamil Nadu,976566,ACC7614170462,Recurring Deposit,2018-03-03,367399.69,0.0,556,Engineer,18,292361.02,Active,No,No,Tier 2,5,49847.27
CUST557058,Karan Iyengar,1990-01-22,35,Female,karan.iyengar342@outlook.com,+918845774616,Bengaluru,Karnataka,953085,ACC5686850445,Recurring Deposit,2005-10-28,428937.68,990938.04,637,Accountant,6,164113.41,Inactive,Yes,No,Tier 3,0,32883.02
CUST668950,Ajay Joshi,1987-12-06,37,Male,ajay.joshi531@outlook.com,+918358880404,Salem,Tamil Nadu,402020,ACC7279140605,Fixed Deposit,2024-10-03,312891.67,0.0,352,Retired,32,69498.78,Dormant,Yes,Yes,Tier 2,17,683.72
CUST527809,Vijay Khanna,1965-04-08,59,Female,vijay.khanna117@rediffmail.com,+919585112032,Hyderabad,Telangana,595158,ACC1400330495,Current,2015-03-31,249438.56,546849.79,598,Nurse,10,197957.15,Dormant,Yes,Yes,Tier 2,13,16993.76
CUST925981,Varun Sharma,1997-07-26,27,Female,varun.sharma290@outlook.com,+918080230418,Vellore,Tamil Nadu,448588,ACC7475684019,Recurring Deposit,2022-02-10,290171.73,893094.79,801,Nurse,25,233118.86,Inactive,Yes,Yes,Tier 3,12,11678.12
CUST913217,Ishaan Ghosh,1977-04-26,47,Female,ishaan.ghosh485@rediffmail.com,+918534805646,Hyderabad,Telangana,205239,ACC2764265618,Fixed Deposit,2007-03-28,247916.66,0.0,337,Nurse,30,17520.32,Active,No,Yes,Tier 1,15,39076.26
CUST377896,Sandeep Kumar,1998-03-26,26,Other,sandeep.kumar873@outlook.com,+918095718469,Tiruppur,Tamil Nadu,137642,ACC8270110908,Recurring Deposit,2006-07-15,190314.69,1774877.37,624,Businessman,19,498738.7,Dormant,Yes,No,Tier 1,20,35194.54
CUST205389,Sara Pillai,1962-01-23,63,Male,sara.pillai926@gmail.com,+917849785671,Kumbakonam,Tamil Nadu,356059,ACC2905584866,Recurring Deposit,2014-03-30,398173.66,0.0,600,Architect,12,93291.99,Active,No,Yes,Tier 2,18,7155.89
CUST583550,Nandini Nair,2000-04-27,24,Female,nandini.nair683@gmail.com,+917897214963,Trichy,Tamil Nadu,716113,ACC8034746821,Salary,2019-05-02,450654.11,0.0,859,Lawyer,17,233849.55,Inactive,Yes,No,Tier 2,3,11860.29
CUST699704,Aditi Chopra,1972-04-24,52,Female,aditi.chopra675@rediffmail.com,+919577015837,Chennai,Tamil Nadu,913423,ACC8298348088,Current,2018-08-14,283181.54,1490344.31,350,Farmer,15,321942.76,Dormant,No,Yes,Tier 3,3,45170.19
CUST777737,Uma Mishra,1992-11-06,32,Male,uma.mishra35@outlook.com,+917784572192,Hyderabad,Telangana,310548,ACC5464285982,Current,2022-08-23,45521.62,0.0,602,Nurse,24,270117.66,Inactive,Yes,No,Tier 2,9,37327.97
CUST455168,Nandini Kumar,1998-08-01,26,Female,nandini.kumar145@yahoo.com,+919395953188,Madurai,Tamil Nadu,114594,ACC4454152476,Salary,2017-01-13,483651.24,0.0,870,Doctor,30,190606.97,Dormant,No,No,Tier 3,11,5417.31
CUST345180,Rekha Kapoor,1987-05-14,37,Male,rekha.kapoor966@outlook.com,+917753617371,Ahmedabad,Gujarat,246566,ACC3024977737,Savings,2005-11-01,324002.36,604380.35,775,Government Employee,32,66899.04,Active,Yes,No,Tier 2,11,33524.31
CUST879238,Rajesh Ghosh,1999-09-19,25,Male,rajesh.ghosh745@yahoo.com,+917201474778,Coimbatore,Tamil Nadu,823811,ACC7615076397,Salary,2009-11-15,327633.49,1878106.13,801,Accountant,29,475772.03,Inactive,Yes,No,Tier 3,20,17933.69
CUST517479,Anjali Malhotra,1964-02-10,61,Male,anjali.malhotra844@rediffmail.com,+917432410914,Pune,Maharashtra,232040,ACC2184901787,Recurring Deposit,2009-08-09,321031.38,0.0,321,Doctor,36,111507.11,Active,Yes,No,Tier 1,19,141.78
CUST251716,Pradeep Nair,1964-12-06,60,Male,pradeep.nair818@yahoo.com,+917390587865,Chennai,Tamil Nadu,282710,ACC5241397494,Salary,2006-03-06,66335.71,475863.21,666,Teacher,27,267781.91,Dormant,Yes,No,Tier 2,11,25661.9
CUST214351,Shiva Jain,1980-07-18,44,Female,shiva.jain931@outlook.com,+916463692519,Chennai,Tamil Nadu,847006,ACC3641863774,Fixed Deposit,2006-08-26,30882.29,852547.24,790,Doctor,21,308065.74,Active,Yes,No,Tier 3,20,29268.23
CUST846746,Ravi Pandey,1982-09-04,42,Other,ravi.pandey302@rediffmail.com,+919302669787,Kochi,Kerala,855855,ACC6691628146,Current,2014-08-25,215384.56,1301833.33,417,Accountant,15,212768.65,Inactive,No,No,Tier 3,3,15627.42
CUST427704,Kavya Mehta,1963-01-04,62,Male,kavya.mehta704@rediffmail.com,+917600506062,Delhi,Delhi,683397,ACC8151583833,Savings,2018-02-26,415970.06,1489177.94,395,Nurse,36,171526.53,Active,No,No,Tier 3,13,43404.61
CUST856086,Anil Bose,1966-12-10,58,Female,anil.bose520@yahoo.com,+918389142017,Salem,Tamil Nadu,220465,ACC6636925105,Salary,2017-11-17,112510.31,0.0,410,Businessman,28,424126.03,Dormant,Yes,No,Tier 1,5,13663.52
CUST899444,Aarav Verma,1985-05-27,39,Male,aarav.verma891@yahoo.com,+918278405793,Madurai,Tamil Nadu,494468,ACC6754503097,Fixed Deposit,2015-03-06,35257.92,0.0,331,Farmer,11,191326.02,Dormant,No,Yes,Tier 1,4,7870.49
CUST747850,Ananya Nair,1981-10-14,43,Male,ananya.nair454@rediffmail.com,+918200510647,Kochi,Kerala,461939,ACC9803662851,Fixed Deposit,2007-06-28,221301.07,0.0,579,Government Employee,38,248450.05,Dormant,No,Yes,Tier 1,12,49222.28
CUST157443,Isha Joshi,1994-04-12,30,Female,isha.joshi786@yahoo.com,+919208401216,Jaipur,Rajasthan,284229,ACC1033015788,Current,2013-07-12,145078.84,0.0,422,Nurse,15,255128.55,Dormant,No,Yes,Tier 2,1,21810.98
CUST582087,Vishal Reddy,1985-09-20,39,Male,vishal.reddy590@rediffmail.com,+917739600515,Madurai,Tamil Nadu,440544,ACC4956362540,Current,2022-12-22,354894.73,0.0,727,Architect,30,417692.7,Inactive,Yes,No,Tier 1,7,21783.83
CUST519902,Lakshmi Malhotra,1969-12-09,55,Male,lakshmi.malhotra318@outlook.com,+918190227431,Kumbakonam,Tamil Nadu,913934,ACC3250402001,Salary,2012-11-16,389669.38,228053.28,378,Retired,10,125771.74,Active,No,Yes,Tier 1,19,7643.49
CUST896028,Chandan Desai,1980-10-23,44,Other,chandan.desai644@rediffmail.com,+918761628889,Vellore,Tamil Nadu,754858,ACC3815389788,Salary,2024-05-20,380058.64,1764096.31,759,IT Professional,21,83969.13,Active,No,No,Tier 3,9,39816.48
CUST720148,Poonam Kumar,1980-04-09,44,Male,poonam.kumar318@rediffmail.com,+919711925630,Mumbai,Maharashtra,744883,ACC5536224717,Recurring Deposit,2016-05-16,28916.58,0.0,593,Lawyer,30,294361.41,Dormant,Yes,No,Tier 3,20,9411.97
CUST734394,Anil Jain,1992-01-16,33,Female,anil.jain921@outlook.com,+919039212077,Delhi,Delhi,560767,ACC5560712830,Recurring Deposit,2016-09-22,252522.23,0.0,476,Architect,11,188310.0,Inactive,No,No,Tier 2,19,2618.28
CUST761532,Akash Reddy,1972-09-29,52,Other,akash.reddy97@rediffmail.com,+918502847163,Jaipur,Rajasthan,248298,ACC8075122626,Salary,2011-12-17,362004.96,0.0,453,IT Professional,26,73186.31,Dormant,Yes,No,Tier 3,12,32174.66
CUST444432,Santosh Banerjee,1988-12-23,36,Male,santosh.banerjee849@gmail.com,+916774223342,Coimbatore,Tamil Nadu,458332,ACC4492602049,Fixed Deposit,2009-04-22,254490.0,0.0,318,Businessman,9,85923.13,Inactive,Yes,Yes,Tier 3,10,43819.64
CUST748052,Bhavya Verma,1992-05-07,32,Other,bhavya.verma852@yahoo.com,+917907818922,Trichy,Tamil Nadu,398768,ACC2617999521,Fixed Deposit,2010-04-01,22324.37,475060.4,673,Nurse,16,161639.27,Inactive,Yes,No,Tier 3,18,49221.99
CUST584106,Tarun Iyer,1967-04-09,57,Female,tarun.iyer515@rediffmail.com,+918064121137,Pune,Maharashtra,681478,ACC8599680717,Savings,2020-12-15,400728.98,104359.61,441,Nurse,8,149680.88,Active,No,No,Tier 3,4,41552.34
CUST196168,Ajay Iyer,1970-07-29,54,Male,ajay.iyer515@outlook.com,+917368741091,Madurai,Tamil Nadu,979940,ACC5409514899,Salary,2022-10-01,497265.41,0.0,683,Teacher,9,28768.56,Inactive,Yes,No,Tier 2,19,262.56
CUST183074,Deepak Chopra,1964-12-26,60,Other,deepak.chopra154@rediffmail.com,+917803136972,Lucknow,Uttar Pradesh,932463,ACC5376588372,Recurring Deposit,2015-04-03,119201.29,0.0,424,Doctor,8,419976.98,Inactive,Yes,Yes,Tier 3,4,14563.6
CUST101640,Farhan Bose,1989-10-20,35,Other,farhan.bose427@yahoo.com,+918259408103,Delhi,Delhi,631971,ACC7935554354,Recurring Deposit,2017-06-06,261980.54,0.0,669,Engineer,25,437932.4,Active,No,No,Tier 2,0,17854.69
CUST170841,Shiva Chatterjee,1994-08-10,30,Other,shiva.chatterjee644@gmail.com,+917513112872,Vellore,Tamil Nadu,454992,ACC2480915452,Current,2023-08-17,367725.9,0.0,640,IT Professional,30,490601.4,Inactive,Yes,Yes,Tier 1,14,1849.19
CUST311383,Zoya Pillai,1996-07-29,28,Male,zoya.pillai528@rediffmail.com,+917533192415,Tiruppur,Tamil Nadu,787584,ACC5474951950,Salary,2011-02-17,236963.18,382206.86,337,Doctor,24,224106.18,Inactive,No,No,Tier 2,5,24810.16
CUST621691,Meena Kumar,1984-06-20,40,Female,meena.kumar441@yahoo.com,+917269763934,Lucknow,Uttar Pradesh,567576,ACC9944748312,Recurring Deposit,2021-02-05,160945.11,0.0,381,Lawyer,11,347984.76,Inactive,No,Yes,Tier 3,11,30742.57
CUST556068,Akash Chatterjee,1976-04-18,48,Other,akash.chatterjee653@rediffmail.com,+918609505739,Erode,Tamil Nadu,919264,ACC5071218314,Fixed Deposit,2005-10-13,400647.44,285558.94,463,Teacher,5,125637.74,Dormant,No,No,Tier 2,18,1619.27
CUST260891,Kavya Rao,1985-09-29,39,Male,kavya.rao455@gmail.com,+917196963451,Hyderabad,Telangana,218959,ACC8211516617,Savings,2021-07-02,264965.21,0.0,707,Teacher,32,263695.18,Dormant,Yes,No,Tier 2,14,10728.52
CUST741599,Anjali Mehta,1980-04-11,44,Female,anjali.mehta874@gmail.com,+919631485960,Kolkata,West Bengal,800280,ACC3109688769,Salary,2020-11-30,449390.18,1621026.44,755,Doctor,36,275663.97,Inactive,Yes,Yes,Tier 2,16,11212.08
CUST310743,Farhan Jain,1976-03-09,49,Male,farhan.jain506@gmail.com,+918628298180,Tiruppur,Tamil Nadu,168941,ACC4401896171,Salary,2013-12-06,286352.56,1103293.87,778,Retired,31,267590.87,Inactive,Yes,Yes,Tier 2,20,3708.25
CUST588461,Yamini Chopra,1994-06-10,30,Male,yamini.chopra799@yahoo.com,+917306204982,Hyderabad,Telangana,269834,ACC2479679716,Salary,2020-11-28,216592.83,1036204.27,356,Businessman,23,474266.74,Dormant,No,Yes,Tier 2,6,31752.85
CUST677599,Rohit Pillai,1982-07-18,42,Other,rohit.pillai630@gmail.com,+918829236141,Kolkata,West Bengal,855638,ACC2178758213,Recurring Deposit,2012-07-28,296108.32,0.0,894,Architect,3,414365.77,Active,Yes,Yes,Tier 3,18,13232.8
CUST321048,Nilesh Kapoor,1988-10-17,36,Other,nilesh.kapoor643@outlook.com,+916313416738,Lucknow,Uttar Pradesh,162823,ACC3744446292,Current,2014-11-11,241730.94,0.0,715,Lawyer,31,237576.66,Inactive,Yes,No,Tier 3,10,36709.99
CUST462147,Arjun Desai,1974-04-25,50,Female,arjun.desai380@gmail.com,+916217348079,Ahmedabad,Gujarat,502810,ACC9484167278,Recurring Deposit,2014-05-19,233503.05,281755.27,573,Businessman,11,408604.14,Dormant,No,Yes,Tier 1,15,49798.47
CUST589491,Aditi Kumar,1982-09-03,42,Female,aditi.kumar968@rediffmail.com,+917208416260,Trichy,Tamil Nadu,726543,ACC6620138568,Fixed Deposit,2011-05-30,483359.97,97316.27,520,Nurse,1,425114.46,Inactive,Yes,No,Tier 3,11,38192.84
CUST483713,Ajay Bose,1976-04-05,48,Other,ajay.bose576@yahoo.com,+917201391159,Tiruppur,Tamil Nadu,813449,ACC5489281916,Recurring Deposit,2007-09-01,144656.55,1528808.23,695,Teacher,7,203012.82,Inactive,No,Yes,Tier 1,19,25456.13
CUST624369,Aishwarya Mehta,1996-01-24,29,Other,aishwarya.mehta731@outlook.com,+917408602588,Salem,Tamil Nadu,434002,ACC1172893522,Current,2013-10-25,259906.69,1031011.46,452,Architect,20,300925.08,Dormant,No,No,Tier 2,0,18417.89
CUST806537,Ravi Tiwari,1992-05-11,32,Female,ravi.tiwari272@yahoo.com,+919326907975,Mumbai,Maharashtra,254954,ACC3702653209,Current,2005-09-16,291969.88,1442365.67,474,Architect,8,103484.32,Inactive,No,No,Tier 1,13,34525.01
CUST530311,Shilpa Mehta,1985-02-27,40,Female,shilpa.mehta532@yahoo.com,+916743812855,Kumbakonam,Tamil Nadu,659024,ACC4124168227,Salary,2017-04-03,499062.37,627505.2,789,Farmer,17,308937.52,Active,Yes,No,Tier 3,9,11243.35
CUST412071,Shilpa Joshi,1974-03-22,51,Other,shilpa.joshi707@rediffmail.com,+918463064097,Salem,Tamil Nadu,669576,ACC8607135564,Fixed Deposit,2013-11-07,174727.19,0.0,580,Farmer,10,152321.8,Inactive,Yes,No,Tier 2,20,12822.2
CUST602351,Varun Shah,1966-02-27,59,Other,varun.shah278@outlook.com,+916218035843,Bengaluru,Karnataka,656837,ACC1919066362,Current,2019-04-24,308030.68,0.0,900,Businessman,4,59097.0,Inactive,No,Yes,Tier 3,4,259.07
CUST677086,Sandeep Khanna,1981-06-01,43,Male,sandeep.khanna902@rediffmail.com,+918774110439,Pune,Maharashtra,906066,ACC5973319056,Savings,2019-08-19,378077.57,0.0,594,Architect,15,272224.62,Dormant,Yes,Yes,Tier 2,5,46696.13
CUST138105,Zoya Ghosh,1999-04-30,25,Female,zoya.ghosh986@outlook.com,+917438994940,Mumbai,Maharashtra,576419,ACC3127657643,Recurring Deposit,2016-10-05,5128.95,1856909.69,881,Accountant,9,427019.27,Inactive,No,Yes,Tier 1,10,8124.71
CUST581206,Shilpa Verma,1995-06-21,29,Other,shilpa.verma15@outlook.com,+919677121224,Lucknow,Uttar Pradesh,525187,ACC8079331637,Fixed Deposit,2016-07-23,284106.72,0.0,497,Farmer,6,206408.29,Active,Yes,Yes,Tier 2,10,46791.27
CUST107161,Farhan Mishra,1974-10-14,50,Female,farhan.mishra772@outlook.com,+918807548688,Lucknow,Uttar Pradesh,826420,ACC6415031531,Current,2006-05-24,291439.15,0.0,886,IT Professional,8,238043.55,Active,No,No,Tier 3,3,31935.57
CUST409369,Arjun Tiwari,1993-07-16,31,Other,arjun.tiwari157@rediffmail.com,+919444542251,Kochi,Kerala,965708,ACC1948540266,Current,2022-02-02,187125.61,1514701.05,862,Businessman,39,437836.18,Active,No,No,Tier 1,18,5610.44
CUST969032,Rahul Shah,1974-09-19,50,Other,rahul.shah154@yahoo.com,+919860700382,Erode,Tamil Nadu,567122,ACC3171050399,Savings,2015-03-04,221199.36,977655.93,510,Teacher,33,213558.04,Dormant,Yes,No,Tier 3,9,36164.0
CUST515182,Deepak Bose,1979-01-02,46,Female,deepak.bose75@gmail.com,+916296434961,Thanjavur,Tamil Nadu,133276,ACC9602885936,Salary,2014-03-04,350342.25,1869165.6,854,Teacher,9,385255.56,Dormant,No,No,Tier 2,14,43481.01
CUST495833,Sanjay Chatterjee,1989-04-25,35,Other,sanjay.chatterjee896@yahoo.com,+916546951552,Thanjavur,Tamil Nadu,333507,ACC2613385303,Savings,2021-12-17,59757.27,0.0,850,Engineer,20,236871.91,Dormant,No,No,Tier 1,7,23031.26
CUST262656,Zoya Kapoor,1961-06-11,63,Male,zoya.kapoor743@gmail.com,+916289012242,Coimbatore,Tamil Nadu,722795,ACC2183906581,Savings,2015-01-06,307654.14,0.0,316,Architect,4,129919.73,Active,No,No,Tier 1,17,10863.46
CUST913761,Poonam Pillai,1985-11-26,39,Male,poonam.pillai240@outlook.com,+919763500857,Kochi,Kerala,792282,ACC1242425303,Recurring Deposit,2009-12-16,386382.84,0.0,628,Lawyer,20,144825.42,Dormant,Yes,No,Tier 3,15,2344.2
CUST461145,Uma Pandey,1978-04-24,46,Male,uma.pandey327@rediffmail.com,+919647891535,Hyderabad,Telangana,415344,ACC8178361487,Current,2023-01-27,150294.3,947037.64,488,Accountant,4,285569.12,Inactive,Yes,No,Tier 1,8,10166.84
CUST778120,Pradeep Ghosh,1962-04-24,62,Other,pradeep.ghosh850@yahoo.com,+919271461204,Jaipur,Rajasthan,859489,ACC2593765711,Recurring Deposit,2009-11-13,188895.4,376326.59,340,Accountant,14,436042.19,Inactive,No,Yes,Tier 1,6,48103.88
CUST223014,Zara Gupta,1977-10-16,47,Other,zara.gupta713@yahoo.com,+918292009846,Ahmedabad,Gujarat,476710,ACC8534793156,Salary,2010-11-13,276263.61,0.0,589,Farmer,33,442577.86,Inactive,Yes,No,Tier 2,6,18535.25
CUST534037,Vishal Gupta,1960-09-22,64,Male,vishal.gupta760@yahoo.com,+916654602021,Jaipur,Rajasthan,445888,ACC9786280935,Current,2013-07-09,276879.13,835156.15,898,Architect,16,254657.73,Dormant,No,No,Tier 2,20,36979.7
CUST583214,Bhavya Mehta,1968-04-03,56,Other,bhavya.mehta738@rediffmail.com,+916319246679,Tiruppur,Tamil Nadu,150871,ACC8709361138,Savings,2014-04-02,495166.61,1678136.99,360,Teacher,15,43304.29,Active,Yes,Yes,Tier 3,14,18660.03
